chr19	0	50000	0	0.0000	0.0000
chr19	50000	100000	0	0.0000	0.0000
chr19	100000	150000	0	0.0000	0.0000
chr19	150000	200000	0	0.0000	0.0000
chr19	200000	250000	0	0.0000	0.0000
chr19	250000	300000	0	0.0000	0.0000
chr19	300000	350000	0	0.0000	0.0000
chr19	350000	400000	0	0.0000	0.0000
chr19	400000	450000	0	0.0000	0.0000
chr19	450000	500000	0	0.0000	0.0000
chr19	500000	550000	0	0.0000	0.0000
chr19	550000	600000	0	0.0000	0.0000
chr19	600000	650000	0	0.0000	0.0000
chr19	650000	700000	0	0.0000	0.0000
chr19	700000	750000	0	0.0000	0.0000
chr19	750000	800000	0	0.0000	0.0000
chr19	800000	850000	0	0.0000	0.0000
chr19	850000	900000	0	0.0000	0.0000
chr19	900000	950000	0	0.0000	0.0000
chr19	950000	1000000	0	0.0000	0.0000
chr19	1000000	1050000	0	0.0000	0.0000
chr19	1050000	1100000	0	0.0000	0.0000
chr19	1100000	1150000	0	0.0000	0.0000
chr19	1150000	1200000	0	0.0000	0.0000
chr19	1200000	1250000	0	0.0000	0.0000
chr19	1250000	1300000	0	0.0000	0.0000
chr19	1300000	1350000	0	0.0000	0.0000
chr19	1350000	1400000	0	0.0000	0.0000
chr19	1400000	1450000	0	0.0000	0.0000
chr19	1450000	1500000	0	0.0000	0.0000
chr19	1500000	1550000	0	0.0000	0.0000
chr19	1550000	1600000	0	0.0000	0.0000
chr19	1600000	1650000	0	0.0000	0.0000
chr19	1650000	1700000	0	0.0000	0.0000
chr19	1700000	1750000	0	0.0000	0.0000
chr19	1750000	1800000	0	0.0000	0.0000
chr19	1800000	1850000	0	0.0000	0.0000
chr19	1850000	1900000	0	0.0000	0.0000
chr19	1900000	1950000	0	0.0000	0.0000
chr19	1950000	2000000	0	0.0000	0.0000
chr19	2000000	2050000	0	0.0000	0.0000
chr19	2050000	2100000	0	0.0000	0.0000
chr19	2100000	2150000	0	0.0000	0.0000
chr19	2150000	2200000	0	0.0000	0.0000
chr19	2200000	2250000	0	0.0000	0.0000
chr19	2250000	2300000	0	0.0000	0.0000
chr19	2300000	2350000	0	0.0000	0.0000
chr19	2350000	2400000	0	0.0000	0.0000
chr19	2400000	2450000	0	0.0000	0.0000
chr19	2450000	2500000	0	0.0000	0.0000
chr19	2500000	2550000	0	0.0000	0.0000
